Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=122.ICP.M.U2.Y.000000.3.INX
,ICP.M.U2.Y.000000.3.INX
,"Euro area (changing composition) - HICP - Overall index, Monthly Index, European Central Bank, Working day and seasonally adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[2015 = 100]
,,obs. status,obs. comment
2022Oct,120.79,Normal value (A),
2022Sep,119.17,Normal value (A),
2022Aug,117.94,Normal value (A),
2022Jul,117.25,Normal value (A),
2022Jun,116.44,Normal value (A),
2022May,115.51,Normal value (A),
2022Apr,114.66,Normal value (A),
2022Mar,114.50,Normal value (A),
2022Feb,112.50,Normal value (A),
2022Jan,111.60,Normal value (A),
2021Dec,110.36,Normal value (A),
2021Nov,109.97,Normal value (A),
2021Oct,109.19,Normal value (A),
2021Sep,108.40,Normal value (A),
2021Aug,108.10,Normal value (A),
2021Jul,107.76,Normal value (A),
2021Jun,107.19,Normal value (A),
2021May,106.88,Normal value (A),
2021Apr,106.70,Normal value (A),
2021Mar,106.53,Normal value (A),
2021Feb,106.29,Normal value (A),
2021Jan,106.20,Normal value (A),
2020Dec,105.14,Normal value (A),
2020Nov,105.00,Normal value (A),
2020Oct,104.86,Normal value (A),
2020Sep,104.75,Normal value (A),
2020Aug,104.76,Normal value (A),
2020Jul,105.24,Normal value (A),
2020Jun,105.08,Normal value (A),
2020May,104.85,Normal value (A),
2020Apr,105.00,Normal value (A),
2020Mar,105.22,Normal value (A),
2020Feb,105.45,Normal value (A),
2020Jan,105.43,Normal value (A),
2019Dec,105.40,Normal value (A),
2019Nov,105.27,Normal value (A),
2019Oct,105.15,Normal value (A),
2019Sep,105.06,Normal value (A),
2019Aug,104.98,Normal value (A),
2019Jul,104.90,Normal value (A),
2019Jun,104.83,Normal value (A),
2019May,104.78,Normal value (A),
2019Apr,104.66,Normal value (A),
2019Mar,104.38,Normal value (A),
2019Feb,104.18,Normal value (A),
2019Jan,104.02,Normal value (A),
2018Dec,104.03,Normal value (A),
2018Nov,104.34,Normal value (A),
2018Oct,104.34,Normal value (A),
2018Sep,104.12,Normal value (A),
2018Aug,103.84,Normal value (A),
2018Jul,103.73,Normal value (A),
2018Jun,103.56,Normal value (A),
2018May,103.46,Normal value (A),
2018Apr,102.99,Normal value (A),
2018Mar,102.89,Normal value (A),
2018Feb,102.75,Normal value (A),
2018Jan,102.74,Normal value (A),
2017Dec,102.45,Normal value (A),
2017Nov,102.33,Normal value (A),
2017Oct,102.02,Normal value (A),
2017Sep,101.98,Normal value (A),
2017Aug,101.77,Normal value (A),
2017Jul,101.56,Normal value (A),
2017Jun,101.51,Normal value (A),
2017May,101.54,Normal value (A),
2017Apr,101.64,Normal value (A),
2017Mar,101.49,Normal value (A),
2017Feb,101.58,Normal value (A),
2017Jan,101.42,Normal value (A),
2016Dec,101.07,Normal value (A),
2016Nov,100.76,Normal value (A),
2016Oct,100.63,Normal value (A),
2016Sep,100.43,Normal value (A),
2016Aug,100.31,Normal value (A),
2016Jul,100.30,Normal value (A),
2016Jun,100.29,Normal value (A),
2016May,100.09,Normal value (A),
2016Apr,99.84,Normal value (A),
2016Mar,99.85,Normal value (A),
2016Feb,99.62,Normal value (A),
2016Jan,99.69,Normal value (A),
2015Dec,99.95,Normal value (A),
2015Nov,100.15,Normal value (A),
2015Oct,100.11,Normal value (A),
2015Sep,100.03,Normal value (A),
2015Aug,100.09,Normal value (A),
2015Jul,100.16,Normal value (A),
2015Jun,100.26,Normal value (A),
2015May,100.21,Normal value (A),
2015Apr,100.02,Normal value (A),
2015Mar,99.93,Normal value (A),
2015Feb,99.73,Normal value (A),
2015Jan,99.37,Normal value (A),
2014Dec,99.52,Normal value (A),
2014Nov,99.80,Normal value (A),
2014Oct,99.87,Normal value (A),
2014Sep,99.98,Normal value (A),
2014Aug,99.87,Normal value (A),
2014Jul,99.84,Normal value (A),
2014Jun,99.83,Normal value (A),
2014May,99.75,Normal value (A),
2014Apr,99.84,Normal value (A),
2014Mar,99.81,Normal value (A),
2014Feb,99.84,Normal value (A),
2014Jan,99.77,Normal value (A),
2013Dec,99.68,Normal value (A),
2013Nov,99.49,Normal value (A),
2013Oct,99.48,Normal value (A),
2013Sep,99.66,Normal value (A),
2013Aug,99.58,Normal value (A),
2013Jul,99.52,Normal value (A),
2013Jun,99.36,Normal value (A),
2013May,99.22,Normal value (A),
2013Apr,99.18,Normal value (A),
2013Mar,99.28,Normal value (A),
2013Feb,99.14,Normal value (A),
2013Jan,99.00,Normal value (A),
2012Dec,98.78,Normal value (A),
2012Nov,98.68,Normal value (A),
2012Oct,98.75,Normal value (A),
2012Sep,98.61,Normal value (A),
2012Aug,98.34,Normal value (A),
2012Jul,98.00,Normal value (A),
2012Jun,97.80,Normal value (A),
2012May,97.81,Normal value (A),
2012Apr,97.91,Normal value (A),
2012Mar,97.66,Normal value (A),
2012Feb,97.35,Normal value (A),
2012Jan,97.06,Normal value (A),Implementation of HICP Regulation No. 114/2010 on the quality of HICP weights in the HICPs of DE, IE, CY, LU, MT, AT, FI.  See Box 3 in the April 2012 ECB Monthly Bulletin for details.
2011Dec,96.63,Normal value (A),
2011Nov,96.54,Normal value (A),
2011Oct,96.34,Normal value (A),
2011Sep,96.09,Normal value (A),Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the Austrian HICP.  See Box 3 in the April 2011 ECB Monthly Bulletin for details.
2011Aug,95.88,Normal value (A),
2011Jul,95.73,Normal value (A),
2011Jun,95.50,Normal value (A),
2011May,95.49,Normal value (A),
2011Apr,95.43,Normal value (A),
2011Mar,95.09,Normal value (A),
2011Feb,94.75,Normal value (A),
