DATAFLOW,LAST UPDATE,freq,indic,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-01,-10.5,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-02,-11.1,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-03,-11.9,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-04,-11.0,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-05,-11.5,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-06,-11.9,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-07,-11.6,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-08,-11.3,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-09,-11.1,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-10,-8.2,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-11,-7.9,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1985-12,-8.2,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-01,-5.8,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-02,-5.3,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-03,-4.5,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-04,-5.0,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-05,-5.4,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-06,-5.4,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-07,-5.3,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-08,-4.4,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-09,-4.5,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-10,-3.9,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-11,-4.3,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1986-12,-4.7,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-01,-4.8,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-02,-5.7,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-03,-5.6,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-04,-6.0,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-05,-6.8,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-06,-7.4,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-07,-7.1,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-08,-7.2,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-09,-5.6,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-10,-6.1,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-11,-7.0,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1987-12,-6.6,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-01,-6.8,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-02,-6.5,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-03,-6.0,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-04,-5.2,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-05,-5.9,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-06,-5.9,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-07,-6.1,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-08,-5.0,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-09,-4.4,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-10,-3.3,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-11,-2.7,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1988-12,-3.2,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1989-01,-3.6,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1989-02,-4.3,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1989-03,-4.4,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1989-04,-4.9,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1989-05,-5.4,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1989-06,-4.2,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1989-07,-3.4,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1989-08,-3.6,
ESTAT:EI_BSCO_M(1.0),28/10/22 11:00:00,M,BS-CSMCI,SA,BAL,EA19,1989-09,-2.7,
