DATAFLOW,LAST UPDATE,freq,indic,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-01,-2.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-02,-2.0,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-03,-4.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-04,-8.0,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-05,-12.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-06,-17.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-07,-16.6,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-08,-20.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-09,-20.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-10,-21.6,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-11,-25.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1980-12,-24.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1981-01,-26.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1981-02,-25.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1981-03,-26.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1981-04,-27.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1981-05,-27.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1981-06,-24.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1981-07,-24.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1981-08,-24.2,
