DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-01,2.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-02,2.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-03,1.7,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-04,1.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-05,1.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-06,1.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-07,1.6,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-08,1.8,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-09,1.7,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-10,1.6,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-11,1.8,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1997-12,1.6,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-01,1.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-02,1.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-03,1.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-04,1.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-05,1.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-06,1.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-07,1.4,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-08,1.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-09,1.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-10,1.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-11,0.9,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1998-12,0.8,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-01,0.9,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-02,0.8,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-03,1.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-04,1.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-05,1.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-06,0.9,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-07,1.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-08,1.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-09,1.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-10,1.4,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-11,1.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,1999-12,1.8,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-01,1.9,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-02,2.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-03,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-04,1.8,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-05,1.9,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-06,2.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-07,2.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-08,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-09,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-10,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-11,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2000-12,2.6,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-01,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-02,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-03,2.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-04,2.8,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-05,3.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-06,2.9,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-07,2.6,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-08,2.4,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-09,2.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-10,2.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-11,2.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2001-12,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-01,2.6,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-02,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-03,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-04,2.4,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-05,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-06,1.9,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-07,2.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-08,2.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-09,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-10,2.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-11,2.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2002-12,2.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-01,2.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-02,2.4,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-03,2.4,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-04,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-05,1.9,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-06,2.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-07,2.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-08,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-09,2.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-10,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-11,2.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2003-12,2.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-01,1.8,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-02,1.7,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-03,1.7,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-04,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-05,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-06,2.4,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-07,2.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-08,2.4,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-09,2.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-10,2.4,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-11,2.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2004-12,2.4,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-01,1.9,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-02,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-03,2.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-04,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-05,2.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-06,2.0,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-07,2.1,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-08,2.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-09,2.6,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-10,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-11,2.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2005-12,2.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2006-01,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2006-02,2.4,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2006-03,2.2,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2006-04,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2006-05,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2006-06,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2006-07,2.5,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2006-08,2.3,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2006-09,1.8,
ESTAT:PRC_HICP_MANR(1.0),17/11/22 11:00:00,M,RCH_A,CP00,EA19,2006-10,1.6,
