DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-01,70.40,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-02,70.71,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-03,71.01,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-04,71.14,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-05,71.32,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-06,71.33,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-07,71.31,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-08,71.27,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-09,71.44,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-10,71.52,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-11,71.53,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1996-12,71.73,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-01,71.95,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-02,72.11,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-03,72.20,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-04,72.18,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-05,72.38,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-06,72.41,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-07,72.46,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-08,72.58,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-09,72.65,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-10,72.69,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-11,72.79,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1997-12,72.88,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-01,72.82,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-02,73.00,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-03,73.10,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-04,73.28,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-05,73.43,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-06,73.47,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-07,73.47,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-08,73.49,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-09,73.47,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-10,73.45,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-11,73.45,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1998-12,73.49,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1999-01,73.44,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1999-02,73.61,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1999-03,73.85,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1999-04,74.11,
ESTAT:PRC_HICP_MIDX(1.0),17/11/22 11:00:00,M,I15,CP00,EA19,1999-05,74.16,
