DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1991-Q1,81.6,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1991-Q2,80.7,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1991-Q3,80.2,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1991-Q4,81.0,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1992-Q1,81.8,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1992-Q2,80.7,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1992-Q3,78.7,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1992-Q4,77.4,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1993-Q1,76.3,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1993-Q2,75.2,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1993-Q3,75.3,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1993-Q4,76.0,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1994-Q1,76.9,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1994-Q2,78.8,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1994-Q3,79.6,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1994-Q4,81.5,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1995-Q1,81.8,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1995-Q2,82.2,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1995-Q3,82.2,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1995-Q4,82.0,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1996-Q1,81.7,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1996-Q2,81.6,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1996-Q3,81.9,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1996-Q4,82.2,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1997-Q1,83.2,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1997-Q2,84.9,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1997-Q3,86.3,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1997-Q4,87.5,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1998-Q1,88.6,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1998-Q2,89.1,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1998-Q3,89.1,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,1998-Q4,88.6,s
